Symbol	GSM3446059	GSM3446060	GSM3446061	GSM3446062	GSM3446063	GSM3446064	GSM3446065	GSM3446066	GSM3446067	GSM3446068	GSM3446069	GSM3446070
LOC254896	-1.58805550423737	-1.32928314544639	-2.52293880203971	-2.75733165743588	-1.62445314899434	-0.675707875082651	-2.85552100605353	-2.07084908281275	-2.72860700681945	-3.02731095277425	-2.0598999915986	-2.67283998560069
LOC283387	-2.90201809395343	-1.35455231024407	-2.69437951717456	-2.9344555224593	-1.70080818836283	-0.938770432636004	-2.93043436582342	-3.25791445393313	-2.69795668743088	-3.22633324577173	-2.88018652988102	-2.87057100707233
LOC285593	-2.76594024840301	-1.35413441856532	-2.55787569937571	-2.56551419695333	-1.13729857325378	-0.806801519526346	-2.32919982880526	-2.9485258103963	-2.47609032206945	-2.87492761205491	-3.04252493206686	-2.31411726865428
LOC339529	-2.42261114044664	-1.27640177064531	-2.48955216952516	-2.72850721116009	-1.58546864920269	-0.748233132727044	-3.00183968588635	-2.66465204054902	-2.78225824980188	-2.87356588993056	-3.07536444217688	-2.42997478453535
LOC400756	-0.644469430327771	-1.38978158642835	-1.32136899606608	-0.773112451398458	-1.20149051109991	-0.835895713961467	-2.20152313189829	-1.13836961577291	-1.08235777791116	-2.68384508780812	-1.78189044068973	-1.53669918941713
LOC439933	-1.90231421490552	-1.26725991325094	-2.46840998115614	-2.5042689837875	-1.58069134773517	-0.739018975763677	-2.15161769300157	-2.26791606440413	-2.1631331682346	-2.04351230873998	-2.42061763289903	-2.01131207321803
LOC440602	-2.93443719419151	-1.53843725656252	-2.74073791563843	-2.98125444492777	-1.85660775353728	-0.990106613613513	-3.19032566220053	-2.85522017783161	-2.97774808292578	-2.66867001508848	-3.27251391878235	-2.93545197453926
LOC541473	-2.93106574186012	-1.51815133465253	-2.72130747672482	-2.94809656598941	-1.83531344220533	-0.971740499810673	-3.1697478368153	-2.51685012526397	-2.94318749060504	-2.89921284336953	-3.23476143569967	-2.89021024893944
LOC643549	3.82327575935462	5.19879213450864	3.98427442182898	3.96465530509487	4.70305602920809	5.63913343741373	3.84975210705491	3.74415149605805	4.12301145527748	3.74160821060948	3.66361264873925	4.03783299111369
LOC650293	-1.10635891797116	-0.811156619843696	-1.41917275639864	-2.16654913129775	-1.53771051982697	-0.843109262988492	-1.00332852739457	-1.1665490348375	-1.29332204107221	-0.687150512567453	-1.34748793954275	-1.61832163359268
LOC651337	-2.73734529261848	-1.32864309086473	-2.53203867952246	-2.32789354204777	-1.65092194636659	-0.796304023866018	-2.99167755504678	-2.67476134958894	-2.76900970257833	-2.80189478866171	-2.37311813743869	-2.72404785390388
LRRC3	-2.62974217866396	-1.33014692814893	-2.26735244340018	-2.77302428374959	-1.64957570010503	-0.790252522637646	-2.99715422404658	-3.1166560561967	-2.7825052919562	-3.06595534428297	-2.76639267213187	-2.74389037033838
LRTOMT	-0.626734448104168	-1.36406701569935	-0.656072368205727	-0.69909534587232	-1.64486979136	-0.832158784242935	-0.737546093103124	-0.799071967981736	-1.07561556010577	-0.561414016947181	-0.989851068366637	-1.36596199572834
